,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
32,  0,0.0,0.0,0.0,7.8125,35.9375,69.53125,87.890625,94.921875,98.4375,99.21875,
32,  4,,0.0,0.0,0.0,4.1015625,33.7890625,65.234375,83.203125,94.53125,94.53125,
32,  8,,,0.0,0.0,0.0,0.78125,20.3125,56.25,81.25,86.71875,
32, 16,,,,0.0,0.0,0.0,0.0,2.34375,21.875,60.15625,
32, 32,,,,,,0.0,0.0,0.0,0.0,3.90625,
32, 64,,,,,,,,0.0,0.0,0.0,
32,128,,,,,,,,,,0.0,
64,  0,0.0,0.0,0.0,0.0,0.390625,9.375,39.0625,63.28125,82.8125,87.5,
64,  4,,,,0.0,0.0,0.9765625,14.453125,42.96875,70.3125,85.9375,
64,  8,,,,0.0,0.0,0.0,0.0,14.84375,47.65625,73.4375,
64, 16,,,,,0.0,0.0,0.0,0.0,4.6875,22.65625,
64, 32,,,,,,,0.0,0.0,0.0,0.0,
64, 64,,,,,,,,,0.0,0.0,
64,128,,,,,,,,,,,
